Player,Pos,Age,Tm,G,GS,MP,FG,FGA,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jacob Evans,SG,21,GSW,30,1,6.8,0.6,1.8,0.1,0.5,.267,0.5,1.3,.368,0.0,0.0,.000,0.2,0.6,0.8,0.8,0.2,0.1,0.4,0.9,1.3
Jawun Evans,PG,22,TOT,8,0,8.1,0.4,1.8,0.0,0.4,.000,0.4,1.4,.273,0.0,0.0,0,0.1,1.4,1.5,1.3,0.4,0.0,0.8,1.0,0.8
Jawun Evans,PG,22,PHO,7,0,9.1,0.4,1.9,0.0,0.3,.000,0.4,1.6,.273,0.0,0.0,0,0.1,1.6,1.7,1.4,0.4,0.0,0.9,1.1,0.9
Jawun Evans,PG,22,OKC,1,0,1.0,0.0,1.0,0.0,1.0,.000,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyreke Evans,SG,29,IND,69,18,20.3,3.7,9.6,1.1,3.1,.356,2.6,6.4,.405,1.7,2.3,.719,0.5,2.4,2.9,2.4,0.8,0.3,1.7,1.7,10.2
Dante Exum,PG,23,UTA,42,1,15.8,2.4,5.7,0.4,1.5,.290,2.0,4.3,.464,1.6,2.0,.791,0.4,1.2,1.6,2.6,0.3,0.1,1.2,1.6,6.9
Kenneth Faried,C,29,TOT,37,13,19.7,4.2,7.2,0.2,0.7,.320,4.0,6.5,.617,1.7,2.7,.646,2.6,4.1,6.8,0.5,0.5,0.6,0.9,2.2,10.4
Kenneth Faried,C,29,BRK,12,0,9.8,2.1,3.5,0.1,0.4,.200,2.0,3.1,.649,0.8,1.3,.625,1.3,2.4,3.7,0.2,0.2,0.3,0.5,0.7,5.1
Kenneth Faried,C,29,HOU,25,13,24.4,5.2,8.9,0.3,0.8,.350,5.0,8.1,.611,2.2,3.3,.651,3.3,5.0,8.2,0.7,0.6,0.8,1.1,3.0,12.9
Derrick Favors,C,27,UTA,76,70,23.2,4.8,8.1,0.2,1.0,.218,4.6,7.1,.640,2.0,3.0,.675,2.7,4.6,7.4,1.2,0.7,1.4,1.1,2.1,11.8
Raymond Felton,PG,34,OKC,33,0,11.5,1.7,4.1,0.6,1.8,.328,1.1,2.2,.473,0.4,0.4,.923,0.1,0.9,1.0,1.6,0.3,0.2,0.4,0.9,4.3
Terrance Ferguson,SG,20,OKC,74,74,26.1,2.5,5.8,1.4,3.9,.366,1.1,1.9,.560,0.5,0.7,.725,0.4,1.5,1.9,1.0,0.5,0.2,0.6,3.1,6.9
Yogi Ferrell,PG,25,SAC,71,3,15.0,2.2,5.0,0.8,2.1,.362,1.4,2.9,.488,0.8,0.9,.896,0.2,1.4,1.5,1.9,0.5,0.1,0.6,0.9,5.9
Bryn Forbes,SG,25,SAS,82,81,28.0,4.4,9.6,2.1,5.0,.426,2.3,4.6,.489,0.8,1.0,.885,0.2,2.7,2.9,2.1,0.5,0.0,1.0,1.9,11.8
